Date_s,Open_s,High_s,Low_s,Close_s,AdjClose_s,Volume_s,Date_m,Open_m,High_m,Low_m,Close_m,AdjClose_m,Volume_m
8/24/2020,256,260,252,254,254,21297900,8/24/2020,5272.810059,5294.153809,5261.408203,5277.041016,5277.041016,138410800
8/25/2020,254,272,254,262,262,211067000,8/25/2020,5277.041016,5341.376953,5276.957031,5338.888184,5338.888184,146510200
8/26/2020,264,266,254,256,256,42894800,8/26/2020,5338.888184,5351.471191,5324.612793,5340.328125,5340.328125,137729200
8/27/2020,258,262,254,254,254,25737100,8/27/2020,5340.328125,5371.472168,5325.487793,5371.472168,5371.472168,134549700
8/28/2020,264,264,254,260,260,29658600,8/28/2020,5371.472168,5381.948242,5325.60498,5346.65918,5346.65918,107955900
8/31/2020,264,266,252,252,252,37528900,8/31/2020,5346.65918,5369.446777,5233.143066,5238.486816,5238.486816,124088000
9/1/2020,252,260,252,254,254,14779400,9/1/2020,5238.486816,5310.679199,5219.208008,5310.679199,5310.679199,90465800
9/2/2020,254,258,254,254,254,9437700,9/2/2020,5310.679199,5337.099121,5295.276855,5311.970215,5311.970215,121613800
9/3/2020,258,260,252,254,254,10945900,9/3/2020,5311.970215,5331.167969,5242.171875,5280.812988,5280.812988,136923000
9/4/2020,256,256,248,252,252,18196700,9/4/2020,5280.812988,5280.812988,5188.608887,5239.851074,5239.851074,95095800
9/7/2020,256,260,254,256,256,42671600,9/7/2020,5235.009766,5245.349121,5195.865234,5230.195801,5230.195801,80111600
9/8/2020,258,268,254,256,256,94258600,9/8/2020,5232.917969,5256.305176,5232.917969,5244.071777,5244.071777,103353200
9/9/2020,250,256,248,250,250,29265900,9/9/2020,5214.032227,5216.02002,5135.812012,5149.375977,5149.375977,101220300
9/10/2020,246,248,234,234,234,36873400,9/10/2020,5084.326172,5084.483887,4878.279785,4891.460938,4891.460938,82384700
9/11/2020,226,238,218,232,232,53661300,9/11/2020,4804.644043,5016.711914,4754.798828,5016.711914,5016.711914,125812400
9/14/2020,232,242,232,240,240,17357700,9/14/2020,5060.023926,5161.828125,5059.26709,5161.828125,5161.828125,109865600
9/15/2020,242,246,238,240,240,14034000,9/15/2020,5169.245117,5187.278809,5091.293945,5100.865234,5100.865234,113645500
9/16/2020,242,242,236,236,236,5332600,9/16/2020,5108.12793,5117.287109,5051.753906,5058.481934,5058.481934,88769100
9/17/2020,238,240,234,236,236,4647300,9/17/2020,5058.950195,5099.577148,5013.186035,5038.400879,5038.400879,85305000
9/18/2020,234,238,234,236,236,4337900,9/18/2020,5037.369141,5072.680176,5023.443848,5059.223145,5059.223145,105751600
9/21/2020,236,238,230,230,230,9174000,9/21/2020,5058.990234,5075.818848,4987.748047,4999.359863,4999.359863,106452100
9/22/2020,230,230,220,222,222,14400900,9/22/2020,4947.730957,4978.440918,4919.109863,4934.092773,4934.092773,74792200
9/23/2020,224,228,216,218,218,15976700,9/23/2020,4946.50293,4984.23877,4873.020996,4917.955078,4917.955078,70609200
9/24/2020,214,218,206,210,210,13692900,9/24/2020,4876.351074,4897.336914,4820.331055,4842.755859,4842.755859,65673400
9/25/2020,212,226,210,220,220,13521200,9/25/2020,4867.962891,4949.303223,4848.024902,4945.791016,4945.791016,88843900
9/28/2020,224,230,216,216,216,9790500,9/28/2020,4962.953125,4991.762207,4905.51123,4906.547852,4906.547852,83772300
9/29/2020,222,224,216,218,218,6301700,9/29/2020,4929.333008,4950.967773,4859.786133,4879.098145,4879.098145,86481700
9/30/2020,218,220,214,214,214,3602900,9/30/2020,4896.432129,4903.86377,4841.361816,4870.039063,4870.039063,85378000
10/1/2020,214,220,214,220,220,7168900,10/1/2020,4899.644043,4970.094238,4898.99707,4970.094238,4970.094238,96362100
10/2/2020,230,230,218,222,222,8922900,10/2/2020,4969.245117,4972.823242,4881.913086,4926.733887,4926.733887,88815300
10/5/2020,216,228,216,222,222,3719400,10/5/2020,4947.040039,4962.792969,4915.685059,4958.769043,4958.769043,70868100
10/6/2020,224,232,224,228,228,14208400,10/6/2020,5004.395996,5023.894043,4992.481934,4999.221191,4999.221191,108547800
10/7/2020,228,230,224,228,228,5337900,10/7/2020,4976.567871,5014.609863,4962.089844,5004.327148,5004.327148,92870700
10/8/2020,230,236,228,230,230,20525800,10/8/2020,5018.736816,5039.14209,5001.519043,5039.14209,5039.14209,80288700
10/9/2020,234,238,230,236,236,14167900,10/9/2020,5036.476074,5057.835938,5029.151855,5053.663086,5053.663086,69016600
10/12/2020,236,240,230,230,230,20771400,10/12/2020,5078.128906,5103.50293,5078.128906,5093.099121,5093.099121,91642100
10/13/2020,234,236,230,234,234,15181500,10/13/2020,5093.421875,5132.958984,5064.170898,5132.571777,5132.571777,110621000
10/14/2020,232,240,232,240,240,39316200,10/14/2020,5134.662109,5177.924805,5125.044922,5176.099121,5176.099121,119876700
10/15/2020,250,274,244,246,246,232896700,10/15/2020,5172.59082,5182.530762,5105.149902,5105.149902,5105.149902,110523700
10/16/2020,246,250,240,244,244,20977000,10/16/2020,5111.434082,5115.558105,5067.588867,5103.414063,5103.414063,92480400
10/19/2020,244,250,244,244,244,9718300,10/19/2020,5116.757813,5128.651855,5090.776855,5126.330078,5126.330078,111112200
10/20/2020,244,246,238,240,240,14236600,10/20/2020,5120.913086,5135.078125,5080.956055,5099.839844,5099.839844,88592600
10/21/2020,240,248,240,242,242,15010800,10/21/2020,5116.790039,5131.506836,5083.660156,5096.445801,5096.445801,104786700
10/22/2020,244,244,240,242,242,5841300,10/22/2020,5084.790039,5093.825195,5063.696777,5091.815918,5091.815918,122922500
10/23/2020,246,248,242,244,244,12356300,10/23/2020,5112.787109,5121.02002,5095.506836,5112.187988,5112.187988,95498300
10/26/2020,246,248,240,242,242,12842300,10/26/2020,5113.148926,5158.265137,5113.022949,5144.048828,5144.048828,103314100
10/27/2020,242,244,238,240,240,12465600,10/27/2020,5133.537109,5155.565918,5110.618164,5128.225098,5128.225098,107122400
